OVERLAYS
    ">Saving",">Tanadi"
    ">Checking for updates",">Bincikawa domin sabuntawa"


BUTTONS
    "> Settings","> Saituna"


MENU ITEMS
    ">Current page",">Shafin yanzu"
    ">Menu",">Maballin kewayawa"
    ">Files",">Fayiloli"
    ">Themes",">Fasali"
    ">Plugins",">Kayayyaki"
    ">Security",">Tsaro"


CURRENT PAGE
    ">Page title",">Taken shafi"
    ">Page keywords",">Kalmomin shafi"
    ">Page description",">Bayanin shafi"
    "> Delete page","> Goge shafi"
    "return confirm\('Delete (.*?)\?'\)","return confirm('Goge $1?')"


MENU
    ">Website title",">Taken shafin yanar gizo"
    ">Page to display on homepage",">Shafi domin nunawa akan shafin farko"
    ">visit",">ziyarci"
    "> Add page","> Kara shafi"


FILES
    ">Upload",">Loda"
    ">Delete files",">Goge fayiloli"


THEMES AND PLUGINS
    "> Check for updates","> Bincika sabuntawa"
    "return confirm\('Remove (.*?)\?'\)","return confirm('Cire $1?')"
    ">Active",">Yana kan aiki"
    "return confirm\('Activate (.*?) theme\?'\)","return confirm('Kunna $1?')"
    "> Activate","> Kunna"
    "> More info","> Karin bayani"
    "> Install","> Kunna"
    ">Installed version:",">Girkakkiyar siga:"
    ">Custom repository",">Ma'ajiya ta al'ada"
    "Enter URL to custom repository","Shigar da adireshin ma'ajiyar al'ada"
    "> Add", "> Kara"
    "> Read more about custom repositories","> Karanta game da wurin ajiya na al'ada"


SECURITY
    ">Admin login URL",">URL/adireshin shafin admin"
    ">Save your login URL to log in to your website next time:",">Adana adireshin admin don shiga shafin yanar gizonku a nan gaba"
    ">Password",">Kalmar sirri"
    "Old password","Tsohuwar kalmar sirri"
    "New password","Sabuwar kalmar sirri"
    "> Change password","> Canja kalmar sirri"

    "> How to restore backup","> Yadda zaku mayar da ajiyayyen shafi"
    ">Improved security \(Apache only\)",">Inganta tsaro (Apache kawai)"
    ">HTTPS redirect, 30 day caching, iframes allowed only from same origin, mime type sniffing prevention, stricter cookie and refferer policy.",">Sauyawa zuwa HTTPS, caching na tsawon kwana 30, yarje wa iframe idan daga asali daya ne kawai, rigakafin gurbatattun nau'ikan mime, manufofin cookie mai turawa da mai nunawa."
    ">ON \(warning: may break your website\)",">KUNNA (gargadi: na iya karya shafin yanar gizon ku)"
    ">OFF \(reset htaccess to default\)",">KASHE (sake saita htaccess zuwa tsoho)"
    "> Read more before enabling","> Kara karantawa kafin ku kunna"
    ">Backup",">Ajiye shafi"
    "> Backup website","> Ajiye shafin yanar gizo"
    ">Last 5 logins",">Karshen shiga 5"


STATISTICS
    ">Statistics",">Kididdiga"
    ">Today",">Yau"
    ">This week",">Wannan makon"
    ">Most popular page",">Shafi mafi shahara"
    ">Pageviews last two weeks",">Duban shafi na makonni biyu da suka gabata"
    ">Sessions last two weeks",">Gamuwar makonni biyu da suka gabata"
    ">Sessions",">Gamuwa"
    ">Pageviews",">Duba shafi"


FOOTER
    ">News",">Labarai"
    ">Community",">Dandalin tattaunawa"
    ">Docs",">Bayanai"
    ">Donate",">Bayar da gudummawa"
    ">Shop\/Merch",">Shago"
